,detector,mode,window_small,window_large,standard,fn,fp,sides
160,ratio,individual,10,3960,46.95,62.04,42.84,1
161,ratio,individual,10,4020,46.82,61.92,42.75,1
162,ratio,individual,10,4080,46.91,61.7,42.94,1
163,ratio,individual,10,4140,46.91,61.57,42.75,1
164,ratio,individual,10,4200,46.91,61.68,42.59,1
165,ratio,individual,10,4260,46.91,61.83,42.5,1
166,ratio,individual,10,4320,46.91,62.09,42.5,1
167,ratio,individual,10,4380,47.06,62.24,42.31,1
168,ratio,individual,10,4440,47.01,61.95,41.98,1
169,ratio,individual,10,4500,46.91,61.74,42.17,1
170,ratio,individual,10,4560,47.1,61.58,42.17,1
171,ratio,individual,10,4620,47.06,61.71,42.17,1
172,ratio,individual,10,4680,47.15,61.81,42.26,1
173,ratio,individual,10,4740,47.06,61.87,42.26,1
174,ratio,individual,10,4800,47.2,62.0,42.36,1
175,ratio,individual,10,4860,47.39,62.08,42.26,1
176,ratio,individual,10,4920,47.39,62.27,42.36,1
177,ratio,individual,10,4980,47.48,62.39,42.36,1
178,ratio,individual,10,5040,47.48,62.52,42.27,1
179,ratio,individual,10,5100,47.53,62.58,42.27,1
180,ratio,individual,10,5160,47.53,62.67,42.08,1
181,ratio,individual,10,5220,47.55,62.74,41.98,1
182,ratio,individual,10,5280,48.09,63.1,42.03,1
183,ratio,individual,10,5340,48.29,63.22,42.31,1
184,ratio,individual,10,5400,48.52,63.38,42.6,1
185,ratio,individual,10,5460,48.52,63.38,42.5,1
186,ratio,individual,10,5520,48.81,63.57,42.41,1
187,ratio,individual,10,5580,48.95,63.66,42.41,1
188,ratio,individual,10,5640,48.99,63.7,42.31,1
189,ratio,individual,10,5700,48.92,63.65,42.31,1
190,ratio,individual,15,60,35.78,47.7,35.78,1
191,ratio,individual,15,120,35.78,50.41,35.78,1
192,ratio,individual,15,180,38.11,53.39,35.78,1
193,ratio,individual,15,240,38.92,53.96,35.78,1
194,ratio,individual,15,300,40.81,55.37,36.05,1
195,ratio,individual,15,360,40.58,55.44,36.74,1
196,ratio,individual,15,420,41.12,55.54,36.8,1
197,ratio,individual,15,480,41.34,56.29,37.7,1
198,ratio,individual,15,540,42.09,56.79,38.3,1
199,ratio,individual,15,600,43.26,57.57,38.91,1
200,ratio,individual,15,660,43.32,57.62,39.52,1
201,ratio,individual,15,720,44.06,58.4,39.99,1
202,ratio,individual,15,780,44.65,58.79,39.69,1
203,ratio,individual,15,840,44.59,58.75,38.89,1
204,ratio,individual,15,900,44.45,58.66,39.19,1
205,ratio,individual,15,960,44.57,58.73,39.17,1
206,ratio,individual,15,1020,44.04,58.38,39.34,1
207,ratio,individual,15,1080,43.84,58.11,38.86,1
208,ratio,individual,15,1140,43.28,58.53,39.1,1
209,ratio,individual,15,1200,43.33,58.07,39.2,1
210,ratio,individual,15,1260,43.44,58.43,39.13,1
211,ratio,individual,15,1320,43.58,58.63,39.41,1
212,ratio,individual,15,1380,43.92,58.62,40.08,1
213,ratio,individual,15,1440,43.63,58.55,39.51,1
214,ratio,individual,15,1500,43.43,58.26,38.8,1
215,ratio,individual,15,1560,43.43,58.42,38.8,1
216,ratio,individual,15,1620,43.43,58.55,38.44,1
217,ratio,individual,15,1680,43.47,58.58,38.71,1
218,ratio,individual,15,1740,43.17,58.38,38.89,1
219,ratio,individual,15,1800,43.02,58.12,39.37,1
220,ratio,individual,15,1860,43.14,58.28,39.64,1
221,ratio,individual,15,1920,43.38,58.48,39.75,1
222,ratio,individual,15,1980,43.62,58.49,40.13,1
223,ratio,individual,15,2040,44.33,58.66,40.32,1
224,ratio,individual,15,2100,44.41,58.7,40.32,1
225,ratio,individual,15,2160,44.04,58.92,40.51,1
226,ratio,individual,15,2220,44.32,59.32,40.6,1
227,ratio,individual,15,2280,44.67,59.09,40.53,1
228,ratio,individual,15,2340,44.91,59.25,40.63,1
229,ratio,individual,15,2400,45.24,59.47,40.82,1
230,ratio,individual,15,2460,45.3,59.51,41.1,1
231,ratio,individual,15,2520,44.39,59.38,41.29,1
232,ratio,individual,15,2580,44.43,59.6,41.48,1
233,ratio,individual,15,2640,44.38,59.77,41.48,1
234,ratio,individual,15,2700,44.68,59.96,41.48,1
235,ratio,individual,15,2760,44.99,60.18,41.48,1
236,ratio,individual,15,2820,45.15,60.18,41.48,1
237,ratio,individual,15,2880,45.39,60.15,41.57,1
238,ratio,individual,15,2940,45.48,59.63,41.59,1
239,ratio,individual,15,3000,45.58,59.69,41.3,1
240,ratio,individual,15,3060,45.81,59.85,41.11,1
241,ratio,individual,15,3120,46.05,60.01,41.09,1
242,ratio,individual,15,3180,46.1,60.04,41.19,1
243,ratio,individual,15,3240,46.14,60.07,41.47,1
244,ratio,individual,15,3300,45.86,59.88,41.66,1
245,ratio,individual,15,3360,45.34,59.87,41.67,1
246,ratio,individual,15,3420,45.34,59.87,41.67,1
247,ratio,individual,15,3480,45.34,59.87,41.51,1
248,ratio,individual,15,3540,45.34,59.99,41.51,1
249,ratio,individual,15,3600,45.58,60.09,41.7,1
250,ratio,individual,15,3660,45.22,60.02,41.76,1
251,ratio,individual,15,3720,45.05,59.99,41.7,1
252,ratio,individual,15,3780,44.91,60.1,41.55,1
253,ratio,individual,15,3840,45.08,60.23,41.61,1
254,ratio,individual,15,3900,45.03,60.19,41.51,1
255,ratio,individual,15,3960,45.03,60.57,41.61,1
256,ratio,individual,15,4020,44.91,60.6,41.55,1
257,ratio,individual,15,4080,45.01,60.6,41.64,1
258,ratio,individual,15,4140,45.01,60.83,41.45,1
259,ratio,individual,15,4200,45.02,60.81,41.2,1
260,ratio,individual,15,4260,45.16,60.88,41.2,1
261,ratio,individual,15,4320,45.35,60.98,41.11,1
262,ratio,individual,15,4380,45.57,60.98,41.14,1
263,ratio,individual,15,4440,45.49,60.74,41.23,1
264,ratio,individual,15,4500,45.16,60.3,41.33,1
265,ratio,individual,15,4560,44.97,60.26,41.33,1
266,ratio,individual,15,4620,45.01,60.07,41.18,1
267,ratio,individual,15,4680,45.1,60.22,41.18,1
268,ratio,individual,15,4740,45.24,60.16,41.1,1
269,ratio,individual,15,4800,45.34,60.29,41.16,1
270,ratio,individual,15,4860,45.48,60.45,41.38,1
271,ratio,individual,15,4920,45.62,60.39,41.57,1
272,ratio,individual,15,4980,45.77,60.39,41.85,1
273,ratio,individual,15,5040,45.77,60.12,41.85,1
274,ratio,individual,15,5100,45.76,60.18,41.85,1
275,ratio,individual,15,5160,45.81,60.3,41.95,1
276,ratio,individual,15,5220,45.81,60.33,41.99,1
277,ratio,individual,15,5280,45.81,60.4,41.99,1
278,ratio,individual,15,5340,45.9,60.43,42.18,1
279,ratio,individual,15,5400,45.86,60.43,42.09,1
280,ratio,individual,15,5460,45.77,60.38,41.9,1
281,ratio,individual,15,5520,45.76,60.28,41.9,1
282,ratio,individual,15,5580,45.76,60.21,42.39,1
283,ratio,individual,15,5640,45.72,60.3,42.39,1
284,ratio,individual,15,5700,45.67,60.15,42.2,1
285,ratio,individual,20,60,35.78,47.7,35.78,1
286,ratio,individual,20,120,35.78,47.7,35.78,1
287,ratio,individual,20,180,35.78,50.47,35.78,1
288,ratio,individual,20,240,37.01,52.1,35.78,1
289,ratio,individual,20,300,38.17,53.67,35.78,1
290,ratio,individual,20,360,38.79,53.85,36.24,1
291,ratio,individual,20,420,39.94,54.79,36.62,1
292,ratio,individual,20,480,40.24,54.99,36.62,1
293,ratio,individual,20,540,40.51,55.74,36.62,1
294,ratio,individual,20,600,41.48,56.39,37.57,1
295,ratio,individual,20,660,42.24,56.77,37.76,1
296,ratio,individual,20,720,43.13,57.49,38.24,1
297,ratio,individual,20,780,43.74,57.9,38.19,1
298,ratio,individual,20,840,43.29,57.86,37.87,1
299,ratio,individual,20,900,42.96,57.66,38.24,1
300,ratio,individual,20,960,43.72,58.17,38.1,1
301,ratio,individual,20,1020,43.0,57.4,37.91,1
302,ratio,individual,20,1080,42.96,57.66,38.2,1
303,ratio,individual,20,1140,42.96,57.23,37.97,1
304,ratio,individual,20,1200,42.77,56.96,37.96,1
